Lipids	Class	SubClass
TG 51:2 (16:0)	TG	TG
TG 51:2 (18:1)	TG	TG
TG 52:1	TG	TG
TG 52:1 (18:0)	TG	TG
TG 52:2	TG	TG
TG 52:2 (16:0)	TG	TG
TG 52:3 (16:1)	TG	TG
TG 52:3 (18:2)	TG	TG
TG 52:4	TG	TG
TG 52:4 (16:0)	TG	TG
TG 52:4 (18:1)	TG	TG
TG 53:2	TG	TG
TG 53:2 (17:0)	TG	TG
TG 54:2	TG	TG
TG 54:2 (18:0)	TG	TG
TG 54:3	TG	TG
TG 54:3 (18:1)	TG	TG
TG 54:4	TG	TG
TG 54:4 (18:0)	TG	TG
TG 54:4 (18:2)	TG	TG
TG 54:5	TG	TG
TG 54:5 (18:1)	TG	TG
TG 54:6	TG	TG
TG 54:6 (18:2)	TG	TG
TG 56:6	TG	TG
TG 56:6 (20:4)	TG	TG
TG 56:8	TG	TG
TG 56:8 (20:4)	TG	TG
TG 58:8	TG	TG
TG 58:8 (22:6)	TG	TG
